yellow leaves,Nitrogen deficiency
stunted growth,Nitrogen deficiency
white powder,Powdery mildew
curling leaves,Powdery mildew
black spots,Fungal infection
leaf fall,Fungal infection
holes in leaves,Pest infestation
visible bugs,Pest infestation
wilting,Root rot
silver patches,Thrips Damage
slime trails,Slugs or Snails
fuzzy grey mold,Botrytis (Gray Mold)
concentric rings,Early Blight
water soaked spots,Bacterial Spot
yellowing between veins,Magnesium Deficiency
crinkled leaves,Leaf Curl Virus
black stem base,Blackleg
hard bumps on stems,Scale Insects
tunneling in fruit,Fruit Fly Larvae
skeletonized leaves,Japanese Beetle
bronzing of leaves,Spider Mites (Advanced)
white cottony mass,Mealybugs
deformed fruit,Boron Deficiency
blossom end rot,Calcium Deficiency
galls on roots,Root Knot Nematode
bleached spots,Sunscald
corky scabs,Scab Disease
oozing sap,Bacterial Canker
mosaic pattern,Mosaic Virus"
